DIN,Director_Name,CIN,Company_Name,Designation,Date_of_Appointment,Date_of_Cessation,Nationality,Gender,Synthetic_Ring_ID
8939159,Sandeep Kumar,U68100MH2012PTC100643,Continental Merchants Private Limited,Director,21/11/2012,,Indian,Male,
9229736,Manish Sharma,U46310UP2014PTC100721,Emerald Enterprises Private Limited,Director,15/10/2014,,Indian,Male,
9759574,Deepak Dubey,U14101WB2018PTC100900,Vinayak Services Private Limited,Director,23/07/2018,,Indian,Male,
9850047,Rahul Bhatia,U45201UP2024PTC100397,Global Realty Private Limited,Director,05/11/2024,,Indian,Male,
8078935,Rohit Pandey,U62011WB2019PTC100901,Royal Systems Private Limited,Additional Director,09/06/2019,,Indian,Male,
8576678,Ashok Gupta,U68100MH2019PTC100137,Sai Industries Private Limited,Director,24/07/2019,,Indian,Male,
8743120,Manoj Sharma,U70200GJ2012PLC100851,Apex Overseas Limited,Director,13/02/2012,,Indian,Male,
8008957,Ishaan Mehta,U14101WB2016PLC100992,Emerald Finance Limited,Independent Director,22/08/2016,,Indian,Male,
8275158,Amit Reddy,U10610WB2016PTC100154,Everest Impex Private Limited,Director,18/04/2016,,Indian,Male,
8951904,Satish Pandey,U41001UP2014PTC100641,Prime Trading Private Limited,Managing Director,27/11/2014,,Indian,Male,
8828375,Manju Dubey,U74999RJ2005PTC100583,Vishwa Retail Private Limited,Director,31/01/2005,,Indian,Female,
8340791,Ishaan Saxena,U68100MH2021PLC100095,Lakshmi Investments Limited,Additional Director,23/10/2021,,Indian,Male,RING-14
9872547,Sanjay Reddy,U46310GJ2007PTC100534,Horizon Finance Private Limited,Director,20/09/2007,,Indian,Male,
8797526,Naresh Yadav,U45201HR2019PTC100396,Radiant Agro Private Limited,Managing Director,10/05/2019,,Indian,Male,
8968938,Vishal Khanna,U70200HR2023PTC100834,Royal Commodities Private Limited,Director,23/05/2023,,Indian,Male,
9489276,Kiran Reddy,U41001PB2011PTC100123,Golden Constructions Private Limited,Managing Director,09/07/2011,,Indian,Female,
8087874,Pooja Gupta,U46310WB2012PTC100977,Metro Ventures Private Limited,Director,01/02/2012,,Indian,Female,
8773555,Bharat Joshi,U68100RJ2016PTC100886,Suvidha Systems Private Limited,Whole-time Director,19/06/2016,,Indian,Male,
8181230,Mukesh Verma,U46310KA2019PTC100410,Vaibhav Solutions Private Limited,Director,19/05/2019,,Indian,Male,
9681430,Dinesh Chauhan,U63990TG2023PTC100276,Ashirwad Systems Private Limited,Whole-time Director,22/09/2023,,Indian,Male,
8048786,Rakesh Bhatia,U10610RJ2024PTC100841,Zenith Industries Private Limited,Whole-time Director,11/10/2024,,Indian,Male,
9015986,Praveen Agarwal,U70200TN2022PTC100147,Superior Trading Private Limited,Managing Director,04/12/2022,,Indian,Male,
9655799,Seema Reddy,U64990TG2011PTC100235,Metro Investments Private Limited,Nominee Director,07/03/2011,,Indian,Female,
9917623,Pooja Singh,U70200MH2014PLC100712,Vikram Textiles Limited,Managing Director,26/07/2014,,Indian,Female,
9229682,Anita Goyal,U63990WB2012PTC100346,National Agro Private Limited,Additional Director,09/01/2013,,Indian,Female,
8376476,Vivek Jain,U63990WB2018PTC100416,Vantage Merchants Private Limited,Director,26/07/2018,,Indian,Male,
9329621,Amit Jain,U52290DL2026PLC100701,Sai Investments Limited,Managing Director,17/04/2026,,Indian,Male,
9932745,Dinesh Dubey,U41001HR2025PTC100341,Royal Services Private Limited,Managing Director,10/12/2025,,Indian,Male,
8960048,Nitin Chauhan,U52290WB2016PLC100326,Vishal Commodities Limited,Nominee Director,06/01/2017,,Indian,Male,
9265245,Jyoti Joshi,U62011HR2005PTC100449,Bharat Traders Private Limited,Nominee Director,08/12/2005,,Indian,Female,
8198653,Manoj Patel,U46310WB2011PTC100654,Elite Chemicals Private Limited,Director,30/05/2011,,Indian,Male,
9584488,Rajesh Kapoor,U64990KA2018PTC100431,Trident Infra Private Limited,Whole-time Director,21/05/2018,,Indian,Male,
8838296,Vandana Chopra,U46310WB2022PTC100998,Skyline Solutions Private Limited,Nominee Director,16/11/2022,,Indian,Female,
8007233,Praveen Agarwal,U41001DL2025PTC100768,Vishwa Distributors Private Limited,Director,17/07/2025,,Indian,Male,
8462638,Gaurav Malhotra,U14101RJ2018PLC100628,Vishal Technologies Limited,Managing Director,23/05/2018,,Indian,Male,
8156926,Ravi Tiwari,U52290MH2025PTC100051,Anmol Constructions Private Limited,Nominee Director,13/06/2025,,Indian,Male,RING-07
8518428,Kunal Verma,U70200PB2019PTC100374,Vishwa Overseas Private Limited,Director,18/03/2019,,Indian,Male,
9231683,Amit Rao,U82990RJ2017PTC100740,Shakti Industries Private Limited,Director,28/10/2017,,Indian,Male,
9942135,Pradeep Pandey,U62011HR2024PTC100428,Prime Impex Private Limited,Whole-time Director,26/04/2024,,Indian,Male,
8694510,Naresh Yadav,U10610DL2026PLC100141,Anmol Trading Limited,Director,28/04/2026,,Indian,Male,
8476183,Swati Rao,U63990DL2005PTC100846,Om Investments Private Limited,Director,10/06/2005,,Indian,Female,
8888673,Usha Arora,U63990TN2010PTC100285,Falcon Developers Private Limited,Managing Director,24/07/2010,,Indian,Female,
8275693,Swati Malhotra,U70200WB2020PTC100939,Rudra Distributors Private Limited,Director,28/07/2020,,Indian,Female,
8980650,Vivek Khanna,U46900WB2022PTC100734,Vardhan Textiles Private Limited,Director,20/03/2022,,Indian,Male,
8889329,Vishal Kumar,U46900TG2015PTC100417,Vardhan Solutions Private Limited,Managing Director,28/04/2015,,Indian,Male,
8696115,Nitin Dubey,U52290KA2015PLC100814,Sai Commodities Limited,Whole-time Director,31/07/2015,,Indian,Male,
8137745,Ishaan Mishra,U70200TN2023PLC100057,Emerald Chemicals Limited,Director,02/02/2023,,Indian,Male,RING-09
8929030,Neha Mehta,U70200TN2017PTC100812,National Enterprises Private Limited,Director,25/06/2017,,Indian,Female,
8020643,Anil Goyal,U45201TG2013PTC100749,Radiant Consultancy Private Limited,Managing Director,20/06/2013,,Indian,Male,
9637743,Rekha Chopra,U52290KA2020PTC100589,Zenith Constructions Private Limited,Nominee Director,23/09/2020,,Indian,Female,
9391761,Rohit Chauhan,U74999KA2012PLC100891,National Foods Limited,Whole-time Director,13/01/2013,,Indian,Male,
8693839,Manish Arora,U64990TN2017PTC100613,Emerald Consultancy Private Limited,Director,26/04/2017,,Indian,Male,
8343738,Vinod Saxena,U14101KA2012PTC100521,Shree Commodities Private Limited,Additional Director,21/05/2012,,Indian,Male,
9667525,Shalini Malhotra,U41001MH2012PTC100807,Platinum Overseas Private Limited,Whole-time Director,18/02/2012,,Indian,Female,
9988276,Payal Trivedi,U63990WB2013PTC100297,Diamond Consultancy Private Limited,Director,20/04/2013,,Indian,Female,
9416086,Madhuri Arora,U64990MH2006PTC100493,Trident Textiles Private Limited,Director,12/12/2006,,Indian,Female,
9601363,Neha Saxena,U46900UP2010PTC100525,Capital Developers Private Limited,Director,02/05/2010,,Indian,Female,
8311570,Mahesh Malhotra,U64990HR2007PTC100367,Rudra Chemicals Private Limited,Director,23/05/2007,,Indian,Male,
9238352,Amit Kumar,U62011PB2019PTC100005,Horizon Developers Private Limited,Whole-time Director,13/04/2019,,Indian,Male,RING-01
9389879,Kavita Joshi,U64990MH2007PTC100659,Suvidha Commodities Private Limited,Managing Director,02/04/2007,,Indian,Female,
9880709,Bharat Malhotra,U68100UP2018PTC100606,Shakti Chemicals Private Limited,Nominee Director,08/09/2018,,Indian,Male,
8336037,Anjali Desai,U47190TG2025PTC100316,Trident Commodities Private Limited,Whole-time Director,17/06/2025,,Indian,Female,
8869262,Mahesh Desai,U62011PB2005PTC100261,Diamond Services Private Limited,Nominee Director,27/01/2005,,Indian,Male,
9026799,Vishal Rao,U70200UP2011PTC100791,Royal Foods Private Limited,Managing Director,10/11/2011,,Indian,Male,
8244687,Suresh Saxena,U10610HR2024PTC100052,Infinity Commodities Private Limited,Director,08/02/2024,,Indian,Male,RING-08
9667525,Shalini Malhotra,U45201GJ2022PTC100354,Trident Exports Private Limited,Additional Director,23/11/2022,,Indian,Female,
8064719,Meena Goyal,U14101TG2024PLC100127,Metro Retail Limited,Director,14/10/2024,,Indian,Female,
9096375,Praveen Iyer,U45201TN2005PTC100605,Diamond Merchants Private Limited,Whole-time Director,14/07/2005,,Indian,Male,
9584972,Vinod Tiwari,U82990KA2019PTC100519,Capital Impex Private Limited,Managing Director,17/11/2019,,Indian,Male,
8352084,Sunil Iyer,U82990WB2014PLC100972,Platinum Logistics Limited,Managing Director,29/01/2015,,Indian,Male,
8615514,Sachin Sharma,U52290PB2019PTC100006,Horizon Chemicals Private Limited,Additional Director,28/03/2019,,Indian,Male,RING-01
9659110,Usha Malhotra,U10610PB2014PTC100748,Elite Ventures Private Limited,Nominee Director,18/04/2014,,Indian,Female,
8362086,Vandana Kumar,U62011RJ2023PTC100085,Capital Retail Private Limited,Director,30/07/2023,,Indian,Female,RING-13
9650122,Anil Joshi,U46310DL2009PTC100579,Vinayak Investments Private Limited,Managing Director,08/01/2010,,Indian,Male,
8644181,Vishal Agarwal,U70200UP2011PTC100791,Royal Foods Private Limited,Director,17/12/2011,,Indian,Male,
8792019,Mahesh Rao,U10610GJ2024PLC100504,Apex Distributors Limited,Whole-time Director,14/02/2024,,Indian,Male,
8708874,Ashok Reddy,U62011HR2013PTC100588,Vishwa Agro Private Limited,Director,18/06/2013,,Indian,Male,
8966753,Yogesh Nair,U14101UP2006PTC100882,Vertex Realty Private Limited,Director,26/09/2006,,Indian,Male,
8251451,Ashok Bhatia,U62011DL2021PTC100363,Global Foods Private Limited,Whole-time Director,30/04/2021,,Indian,Male,
8741543,Ashok Bansal,U14101GJ2008PTC100213,Krishna Investments Private Limited,Managing Director,05/08/2008,,Indian,Male,
8581698,Deepa Yadav,U70200RJ2025PTC100248,Ganesh Enterprises Private Limited,Additional Director,24/06/2025,,Indian,Female,
9706051,Sachin Pandey,U74999TG2018PTC100077,Nova Agro Private Limited,Whole-time Director,02/11/2018,,Indian,Male,RING-12
8444193,Sarita Patel,U46900TN2023PTC100112,Anmol Chemicals Private Limited,Managing Director,05/07/2023,,Indian,Female,RING-16
9144182,Naresh Mishra,U70200UP2016PTC100402,Vikram Realty Private Limited,Director,02/02/2016,,Indian,Male,
8689655,Sunil Rao,U10610GJ2010PTC100695,Krishna Solutions Private Limited,Director,16/02/2010,,Indian,Male,
8852181,Anjali Dubey,U46900TG2010PTC100773,Metro Traders Private Limited,Director,21/06/2010,,Indian,Female,
9274686,Naresh Dubey,U70200KA2008PTC100478,Global Trading Private Limited,Whole-time Director,08/06/2008,,Indian,Male,
9947386,Mahesh Nair,U41001PB2023PTC100227,Vikram Traders Private Limited,Whole-time Director,14/02/2023,,Indian,Male,
8368458,Harish Chopra,U64990KA2023PTC100063,Sunrise Pharma Private Limited,Managing Director,15/08/2023,,Indian,Male,RING-10
8240380,Satish Agarwal,U52290HR2005PLC100170,Suvidha Pharma Limited,Managing Director,07/05/2005,,Indian,Male,
9185734,Satish Bhatia,U70200TN2006PTC100389,Shakti Trading Private Limited,Additional Director,03/02/2006,,Indian,Male,
9171098,Dinesh Jain,U82990WB2014PLC100196,Falcon Distributors Limited,Whole-time Director,30/05/2014,,Indian,Male,
9448986,Arun Tiwari,U74999UP2018PTC100587,Vishwa Enterprises Private Limited,Director,26/04/2018,,Indian,Male,
9542086,Suresh Iyer,U47190RJ2019PTC100229,Infinity Enterprises Private Limited,Director,31/07/2019,,Indian,Male,
9728197,Arun Chopra,U46310HR2023PTC100513,Meridian Impex Private Limited,Director,18/10/2023,,Indian,Male,
9548831,Suresh Sharma,U47190MH2021PTC100157,Ashirwad Solutions Private Limited,Director,05/04/2021,,Indian,Male,
8684314,Vivek Arora,U74999TG2015PLC100240,Vinayak Constructions Limited,Independent Director,11/09/2015,,Indian,Male,
8800347,Vinod Mehta,U52290HR2008PTC100996,Lakshmi Solutions Private Limited,Director,17/12/2008,,Indian,Male,
9127223,Mukesh Goyal,U45201PB2025PTC100585,Vishwa Textiles Private Limited,Director,12/01/2026,,Indian,Male,
9936398,Manish Trivedi,U68100MH2013PTC100909,Diamond Distributors Private Limited,Director,25/09/2013,,Indian,Male,
9564466,Seema Singh,U10610MH2005PLC100344,Apex Enterprises Limited,Director,12/11/2005,,Indian,Female,
9315707,Meena Verma,U82990GJ2014PTC100959,Vishwa Realty Private Limited,Whole-time Director,14/05/2014,,Indian,Female,
9350254,Alok Mishra,U62011HR2024PTC100428,Prime Impex Private Limited,Director,22/04/2024,,Indian,Male,
8699251,Yogesh Verma,U82990TN2020PTC100531,Ganesh Infra Private Limited,Director,24/01/2020,,Indian,Male,
8164846,Deepak Singh,U82990DL2014PTC100970,Sunrise Foods Private Limited,Additional Director,03/12/2014,,Indian,Male,
9141742,Ishaan Arora,U41001MH2022PTC100277,Bharat Foods Private Limited,Nominee Director,11/05/2022,,Indian,Male,
8416550,Ajay Iyer,U46900TG2010PLC100848,Vinayak Systems Limited,Whole-time Director,10/10/2010,,Indian,Male,
8836197,Ramesh Mishra,U70200TN2023PLC100057,Emerald Chemicals Limited,Whole-time Director,24/01/2023,,Indian,Male,RING-09
8134057,Gaurav Goyal,U46900RJ2008PTC100856,National Commodities Private Limited,Director,17/06/2008,,Indian,Male,
8197889,Neha Singh,U64990MH2007PTC100659,Suvidha Commodities Private Limited,Director,01/05/2007,,Indian,Female,
8663398,Neha Sharma,U47190RJ2010PTC100171,Royal Agro Private Limited,Nominee Director,06/09/2010,,Indian,Female,
8311570,Mahesh Malhotra,U64990HR2020PTC100335,Vardhan Enterprises Private Limited,Managing Director,08/09/2020,,Indian,Male,
8969904,Ashok Saxena,U41001UP2017PTC100256,Vantage Consultancy Private Limited,Additional Director,30/04/2017,,Indian,Male,
8444193,Sarita Patel,U62011TN2023PTC100115,Anmol Industries Private Limited,Director,14/06/2023,,Indian,Female,RING-16
9723520,Dinesh Jain,U82990WB2010PTC100161,Superior Merchants Private Limited,Managing Director,14/01/2010,,Indian,Male,
9750935,Amit Agarwal,U70200TG2022PLC100036,Vikram Enterprises Limited,Director,30/10/2022,,Indian,Male,RING-05
9598562,Ramesh Chauhan,U52290GJ2005PTC100743,Diamond Traders Private Limited,Whole-time Director,14/10/2005,,Indian,Male,
8782216,Bharat Desai,U41001TG2013PLC100986,Radiant Overseas Limited,Director,30/03/2013,,Indian,Male,
8953755,Ravi Desai,U46310HR2024PTC100053,Infinity Pharma Private Limited,Nominee Director,31/01/2024,,Indian,Male,RING-08
8818213,Ishaan Tiwari,U14101UP2012PTC100561,Krishna Services Private Limited,Managing Director,20/04/2012,,Indian,Male,
8799561,Jyoti Nair,U45201WB2017PTC100595,Radiant Systems Private Limited,Director,12/02/2017,,Indian,Female,
8398201,Rakesh Goyal,U10610WB2021PTC100753,Om Realty Private Limited,Director,29/01/2022,,Indian,Male,
9062667,Radha Mishra,U10610TN2017PTC100845,Ashirwad Chemicals Private Limited,Whole-time Director,22/06/2017,,Indian,Female,
8844983,Sanjay Kapoor,U68100DL2023PTC100838,Rudra Infra Private Limited,Additional Director,24/01/2024,,Indian,Male,
9572310,Gaurav Trivedi,U47190HR2017PLC100303,Radiant Logistics Limited,Managing Director,24/06/2017,,Indian,Male,
8629568,Sanjay Khanna,U10610UP2013PTC100696,Ganesh Overseas Private Limited,Director,31/08/2013,,Indian,Male,
8643419,Alok Saxena,U14101GJ2020PLC100105,Anmol Distributors Limited,Director,01/01/2021,,Indian,Male,RING-15
8257239,Vikram Desai,U62011PB2010PTC100908,Everest Trading Private Limited,Additional Director,05/10/2010,,Indian,Male,
8729516,Vivek Rao,U70200GJ2025PLC100762,Continental Merchants Limited,Director,28/01/2026,,Indian,Male,
9295933,Arun Patel,U47190RJ2026PTC100387,Capital Logistics Private Limited,Director,07/03/2026,,Indian,Male,
9257020,Girish Joshi,U14101KA2015PTC100829,Vikram Infra Private Limited,Director,09/04/2015,,Indian,Male,
9469774,Lata Patel,U74999RJ2010PTC100737,Elite Trading Private Limited,Director,30/04/2010,,Indian,Female,
8847302,Sanjay Chauhan,U47190DL2018PTC100569,Suvidha Trading Private Limited,Managing Director,23/01/2019,,Indian,Male,
8962588,Sachin Saxena,U62011PB2019PTC100149,Horizon Commodities Private Limited,Director,19/09/2019,,Indian,Male,
9098601,Satish Singh,U14101MH2011PTC100131,Platinum Finance Private Limited,Nominee Director,09/01/2012,,Indian,Male,
8626077,Divya Kapoor,U47190TG2010PTC100645,Vinayak Infra Private Limited,Nominee Director,28/05/2010,,Indian,Female,
9484199,Nitin Kumar,U47190MH2021PTC100941,Pioneer Systems Private Limited,Director,15/07/2021,,Indian,Male,
9825047,Mahesh Joshi,U74999GJ2015PTC100477,Superior Technologies Private Limited,Nominee Director,27/01/2016,,Indian,Male,
8609197,Sunita Patel,U64990DL2017PTC100384,Meridian Realty Private Limited,Director,05/07/2017,,Indian,Female,
9814871,Ajay Jain,U74999MH2025PTC100325,Bharat Investments Private Limited,Director,11/07/2025,,Indian,Male,
8753245,Pooja Jain,U74999RJ2026PTC100624,Vishal Exports Private Limited,Director,24/05/2026,,Indian,Female,
9245561,Rajesh Joshi,U64990WB2006PTC100129,Prime Realty Private Limited,Managing Director,14/01/2007,,Indian,Male,
9930499,Mahesh Chopra,U10610KA2017PTC100865,Nova Chemicals Private Limited,Independent Director,07/03/2017,,Indian,Male,
8243907,Priya Chauhan,U10610TG2022PTC100732,Universal Trading Private Limited,Nominee Director,07/12/2022,,Indian,Female,
8458517,Bharat Verma,U52290PB2019PTC100006,Horizon Chemicals Private Limited,Whole-time Director,11/04/2019,,Indian,Male,RING-01
9402277,Suresh Mehta,U68100GJ2020PTC100378,Sai Ventures Private Limited,Managing Director,08/10/2020,,Indian,Male,
9655128,Gaurav Singh,U52290RJ2021PTC100068,Elite Industries Private Limited,Additional Director,18/11/2021,,Indian,Male,RING-11
8643419,Alok Saxena,U46310GJ2020PTC100101,Anmol Systems Private Limited,Whole-time Director,31/12/2020,,Indian,Male,RING-15
9786947,Deepa Jain,U63990KA2007PTC100797,Golden Solutions Private Limited,Director,11/09/2007,,Indian,Female,
9194659,Rakesh Goyal,U10610HR2015PTC100793,Ganesh Consultancy Private Limited,Director,25/06/2015,,Indian,Male,
8420502,Vijay Mehta,U70200HR2008PTC100380,Continental Industries Private Limited,Nominee Director,22/08/2008,,Indian,Male,
9452841,Deepak Chauhan,U46310GJ2020PTC100101,Anmol Systems Private Limited,Director,30/12/2020,,Indian,Male,RING-15
8068523,Ashok Joshi,U45201GJ2022PTC100354,Trident Exports Private Limited,Director,28/11/2022,,Indian,Male,
8953755,Ravi Desai,U41001HR2024PTC100056,Infinity Realty Private Limited,Additional Director,07/02/2024,,Indian,Male,RING-08
8158369,Sanjay Trivedi,U10610KA2011PTC100125,Om Developers Private Limited,Managing Director,21/06/2011,,Indian,Male,
8282008,Vishal Arora,U47190MH2016PTC100863,Lakshmi Ventures Private Limited,Additional Director,10/04/2016,,Indian,Male,
9965784,Ravi Arora,U74999TN2023PTC100951,Metro Exports Private Limited,Director,19/03/2023,,Indian,Male,
9412594,Gaurav Mishra,U10610MH2011PTC100903,Infinity Retail Private Limited,Director,01/10/2011,,Indian,Male,
8703602,Ajay Shah,U46900HR2019PTC100231,Suvidha Impex Private Limited,Nominee Director,26/03/2019,,Indian,Male,
9076338,Manish Chopra,U41001HR2024PTC100056,Infinity Realty Private Limited,Whole-time Director,11/02/2024,,Indian,Male,RING-08
8156926,Ravi Tiwari,U62011MH2025PTC100046,Anmol Overseas Private Limited,Director,08/06/2025,,Indian,Male,RING-07
8753390,Vinod Verma,U74999PB2025PTC100220,Everest Logistics Private Limited,Director,14/08/2025,,Indian,Male,
8362086,Vandana Kumar,U64990RJ2023PTC100088,Capital Chemicals Private Limited,Managing Director,04/08/2023,,Indian,Female,RING-13
8502677,Neha Bansal,U68100KA2024PLC100302,Meridian Foods Limited,Director,17/11/2024,,Indian,Female,
9206594,Vikram Pandey,U46900UP2007PTC100930,Prime Pharma Private Limited,Director,14/01/2008,,Indian,Male,
9979173,Pooja Malhotra,U70200HR2005PTC100827,Vaibhav Commodities Private Limited,Whole-time Director,02/03/2005,,Indian,Female,
9317179,Dinesh Arora,U68100WB2007PTC100128,Universal Overseas Private Limited,Whole-time Director,25/01/2008,,Indian,Male,
9716226,Deepak Jain,U14101HR2022PTC100704,Universal Impex Private Limited,Director,24/10/2022,,Indian,Male,
9173235,Vivek Joshi,U41001TN2017PTC100876,Golden Agro Private Limited,Nominee Director,30/09/2017,,Indian,Male,
8490153,Girish Chauhan,U46310HR2009PTC100298,Ashirwad Commodities Private Limited,Director,16/04/2009,,Indian,Male,
9767963,Ravi Reddy,U64990DL2013PTC100355,Vardhan Logistics Private Limited,Director,13/10/2013,,Indian,Male,
8505677,Ramesh Tiwari,U47190TG2018PTC100076,Nova Overseas Private Limited,Director,22/11/2018,,Indian,Male,RING-12
9027414,Mukesh Kapoor,U47190MH2006PTC100238,Vantage Commodities Private Limited,Director,25/04/2006,,Indian,Male,
8209042,Satish Pandey,U52290HR2023PTC100400,Skyline Trading Private Limited,Whole-time Director,13/10/2023,,Indian,Male,
8972195,Vandana Kumar,U63990TG2016PTC100207,Vishal Enterprises Private Limited,Nominee Director,05/09/2016,,Indian,Female,
9710825,Yogesh Shah,U82990WB2021PTC100651,Golden Consultancy Private Limited,Nominee Director,30/05/2021,,Indian,Male,
8078207,Suresh Saxena,U68100DL2024PTC100647,Om Retail Private Limited,Managing Director,03/05/2024,,Indian,Male,
9076708,Yogesh Bhatia,U41001GJ2021PTC100269,Vinayak Realty Private Limited,Whole-time Director,10/01/2021,,Indian,Male,
9238352,Amit Kumar,U74999PB2019PTC100002,Horizon Exports Private Limited,Director,14/04/2019,,Indian,Male,RING-01
8871756,Sarita Goyal,U82990TN2020PTC100638,Apex Pharma Private Limited,Additional Director,23/02/2020,,Indian,Female,
9861263,Sunil Patel,U68100HR2009PTC100192,Ashirwad Exports Private Limited,Director,19/09/2009,,Indian,Male,
8458517,Bharat Verma,U74999PB2019PTC100003,Horizon Merchants Private Limited,Independent Director,17/03/2019,,Indian,Male,RING-01
8853548,Neha Mishra,U14101TG2020PLC100952,Continental Realty Limited,Director,07/10/2020,,Indian,Female,
9339615,Dinesh Joshi,U70200DL2022PTC100917,Rudra Solutions Private Limited,Director,28/10/2022,,Indian,Male,
8339667,Geeta Agarwal,U41001PB2023PTC100227,Vikram Traders Private Limited,Director,12/01/2023,,Indian,Female,
8340791,Ishaan Saxena,U41001MH2021PTC100090,Lakshmi Finance Private Limited,Managing Director,09/10/2021,,Indian,Male,RING-14
8622420,Amit Pandey,U68100UP2010PTC100454,Vardhan Industries Private Limited,Additional Director,08/02/2010,,Indian,Male,
8243257,Sachin Trivedi,U52290TN2022PTC100224,Vaibhav Realty Private Limited,Nominee Director,23/01/2023,,Indian,Male,
8340791,Ishaan Saxena,U64990MH2021PTC100094,Lakshmi Exports Private Limited,Director,11/10/2021,,Indian,Male,RING-14
8148620,Manoj Saxena,U46310MH2025PTC100379,Bharat Ventures Private Limited,Director,06/08/2025,,Indian,Male,
8590837,Neha Joshi,U14101RJ2018PLC100628,Vishal Technologies Limited,Director,14/05/2018,,Indian,Female,
9988186,Kavita Reddy,U47190DL2014PTC100494,Krishna Agro Private Limited,Managing Director,04/09/2014,,Indian,Female,
8041738,Yogesh Khanna,U68100HR2018PTC100662,Universal Industries Private Limited,Director,16/12/2018,,Indian,Male,
8095021,Manju Pandey,U82990DL2016PLC100603,Vardhan Infra Limited,Additional Director,11/08/2016,,Indian,Female,
9308257,Kavita Arora,U74999WB2022PTC100353,Orion Logistics Private Limited,Director,13/03/2022,,Indian,Female,
9606150,Gaurav Malhotra,U70200MH2007PTC100799,Shakti Logistics Private Limited,Additional Director,27/06/2007,,Indian,Male,
8647530,Alok Tiwari,U46310MH2012PTC100642,Vikram Trading Private Limited,Director,20/08/2012,,Indian,Male,
9823418,Shobha Sharma,U46900TN2023PTC100108,Anmol Infra Private Limited,Additional Director,13/06/2023,,Indian,Female,RING-16
9430674,Amit Arora,U63990TG2023PTC100276,Ashirwad Systems Private Limited,Nominee Director,25/10/2023,,Indian,Male,
9318412,Gaurav Khanna,U46310MH2018PTC100809,Rudra Consultancy Private Limited,Nominee Director,12/06/2018,,Indian,Male,
9075089,Satish Shah,U46900DL2018PTC100672,Golden Overseas Private Limited,Managing Director,29/08/2018,,Indian,Male,
8064719,Meena Goyal,U52290UP2017PTC100124,Vishal Systems Private Limited,Whole-time Director,09/06/2017,,Indian,Female,
8559474,Rahul Chauhan,U46310UP2007PTC100571,Skyline Traders Private Limited,Additional Director,16/04/2007,,Indian,Male,
9643544,Yogesh Patel,U64990MH2008PTC100836,Apex Retail Private Limited,Whole-time Director,14/04/2008,,Indian,Male,
9453296,Ishaan Kapoor,U82990MH2007PTC100288,Metro Merchants Private Limited,Director,27/08/2007,,Indian,Male,
8009595,Lata Goyal,U41001WB2019PLC100849,Suvidha Constructions Limited,Director,30/03/2019,,Indian,Female,
9139737,Usha Pandey,U10610TN2019PTC100172,Radiant Constructions Private Limited,Nominee Director,09/07/2019,,Indian,Female,
9601363,Neha Saxena,U46310HR2017PTC100247,Meridian Overseas Private Limited,Additional Director,11/06/2017,,Indian,Female,
9451062,Swati Sharma,U14101WB2016PLC100992,Emerald Finance Limited,Director,24/09/2016,,Indian,Female,
9894057,Kavita Malhotra,U14101MH2015PTC100259,Universal Foods Private Limited,Nominee Director,21/09/2015,,Indian,Female,
8495487,Ravi Mishra,U47190HR2019PTC100726,Ashirwad Impex Private Limited,Director,15/06/2019,,Indian,Male,
8729876,Yogesh Nair,U46310DL2009PTC100579,Vinayak Investments Private Limited,Director,29/12/2009,,Indian,Male,
8340791,Ishaan Saxena,U62011MH2021PTC100089,Lakshmi Pharma Private Limited,Whole-time Director,09/10/2021,,Indian,Male,RING-14
8878875,Rakesh Sharma,U45201UP2012PLC100620,Shree Agro Limited,Managing Director,25/07/2012,,Indian,Male,
9477389,Pooja Gupta,U64990WB2024PTC100498,Infinity Consultancy Private Limited,Additional Director,22/07/2024,,Indian,Female,
9763016,Ishaan Patel,U14101WB2015PTC100744,Vardhan Ventures Private Limited,Independent Director,04/07/2015,,Indian,Male,
8429257,Praveen Kumar,U10610MH2007PTC100688,Ganesh Merchants Private Limited,Director,28/03/2007,,Indian,Male,
8975150,Sunil Pandey,U46310UP2024PTC100028,Pioneer Commodities Private Limited,Nominee Director,17/07/2024,,Indian,Male,RING-04
9256077,Amit Patel,U82990RJ2019PTC100011,Vantage Chemicals Private Limited,Nominee Director,29/09/2019,,Indian,Male,RING-02
8109164,Ramesh Sharma,U46900UP2010PTC100525,Capital Developers Private Limited,Director,15/04/2010,,Indian,Male,
9885899,Bharat Shah,U47190TN2022PTC100058,Emerald Technologies Private Limited,Whole-time Director,22/01/2023,,Indian,Male,RING-09
9555428,Anil Saxena,U10610TG2005PTC100222,Orion Developers Private Limited,Managing Director,07/12/2005,,Indian,Male,
8189681,Manoj Nair,U41001HR2025PTC100341,Royal Services Private Limited,Managing Director,05/01/2026,,Indian,Male,
9099815,Manju Dubey,U46900MH2024PLC100621,Nova Consultancy Limited,Director,23/12/2024,,Indian,Female,
9996320,Anil Gupta,U47190TG2022PTC100035,Vikram Exports Private Limited,Director,02/11/2022,,Indian,Male,RING-05
9167271,Pradeep Kapoor,U46310GJ2007PTC100534,Horizon Finance Private Limited,Director,02/09/2007,,Indian,Male,
8189924,Amit Patel,U70200GJ2025PLC100762,Continental Merchants Limited,Managing Director,26/12/2025,,Indian,Male,
8619152,Madhuri Shah,U70200TG2010PLC100745,Metro Commodities Limited,Nominee Director,06/02/2011,,Indian,Female,
